"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1716658570.922232,1716658590.409502,TCP,192.168.10.2,50388.0,192.168.10.5,80.0,,C,T1071,1.0,1.0
,2,1716658570.922516,1716658590.409744,TCP,192.168.10.5,80.0,192.168.10.2,50388.0,,,,,
2.0,3,1716658590.41004,1716658595.530384,TCP,192.168.10.2,50394.0,192.168.10.5,80.0,,L,,0.0,0.0
,4,1716658590.4102,1716658595.530591,TCP,192.168.10.5,80.0,192.168.10.2,50394.0,,,,,
3.0,5,1716658595.530803,1716658600.623967,TCP,192.168.10.2,50396.0,192.168.10.5,80.0,,L,,0.0,0.0
,6,1716658595.531002,1716658600.624264,TCP,192.168.10.5,80.0,192.168.10.2,50396.0,,,,,
4.0,7,1716658600.624223,1716658605.708949,TCP,192.168.10.2,50397.0,192.168.10.5,80.0,,L,,0.0,0.0
,8,1716658600.624477,1716658605.709341,TCP,192.168.10.5,80.0,192.168.10.2,50397.0,,,,,
5.0,9,1716658605.709602,1716658610.827314,TCP,192.168.10.2,50399.0,192.168.10.5,80.0,,L,,0.0,0.0
,10,1716658605.709896,1716658610.827575,TCP,192.168.10.5,80.0,192.168.10.2,50399.0,,,,,
6.0,11,1716658610.827632,1716658620.998385,TCP,192.168.10.2,50403.0,192.168.10.5,80.0,,L,,0.0,0.0
,12,1716658610.82784,1716658620.998784,TCP,192.168.10.5,80.0,192.168.10.2,50403.0,,,,,
7.0,13,1716658620.998604,1716658626.279965,TCP,192.168.10.2,50409.0,192.168.10.5,80.0,,L,,0.0,0.0
,14,1716658620.998939,1716658626.280625,TCP,192.168.10.5,80.0,192.168.10.2,50409.0,,,,,
8.0,15,1716658568.455291,1716658568.571214,UDP,192.168.10.2,5353.0,224.0.0.251,5353.0,,L,,0.0,0.0
9.0,16,1716658568.455979,1716658568.571625,UDP,fe80::ca8c:e0e8:31e2:93e5,5353.0,ff02::fb,5353.0,,L,,0.0,0.0
10.0,17,1716658568.458251,1716658568.868634,UDP,fe80::ca8c:e0e8:31e2:93e5,58421.0,ff02::1:3,5355.0,,L,,0.0,0.0
11.0,18,1716658568.458342,1716658568.868672,UDP,192.168.10.2,58421.0,224.0.0.252,5355.0,,L,,0.0,0.0
12.0,19,1716658568.457354,1716658568.868984,UDP,fe80::ca8c:e0e8:31e2:93e5,57267.0,ff02::1:3,5355.0,,L,,0.0,0.0
13.0,20,1716658568.45749,1716658568.869012,UDP,192.168.10.2,57267.0,224.0.0.252,5355.0,,L,,0.0,0.0
14.0,24,1716658590.411363,1716658590.528223,TCP,192.168.10.5,55048.0,192.168.10.1,80.0,,P,T1090.001,0.0,1.0
,25,1716658590.411946,1716658590.527926,TCP,192.168.10.1,80.0,192.168.10.5,55048.0,,,,,
15.0,26,1716658600.625101,1716658600.701019,TCP,192.168.10.5,50608.0,192.168.10.1,80.0,,L,,0.0,0.0
,27,1716658600.625405,1716658600.700366,TCP,192.168.10.1,80.0,192.168.10.5,50608.0,,,,,
16.0,30,1716658573.831247,1716658626.761324,TCP,192.168.10.5,38640.0,192.168.10.1,80.0,,L,,0.0,0.0
,31,1716658573.831521,1716658626.761055,TCP,192.168.10.1,80.0,192.168.10.5,38640.0,,,,,
17.0,32,1716658626.28021,1716658636.794976,TCP,192.168.10.2,50416.0,192.168.10.5,80.0,,L,,0.0,0.0
,33,1716658626.280625,1716658636.79529,TCP,192.168.10.5,80.0,192.168.10.2,50416.0,,,,,
18.0,34,1716658570.983187,1716658636.925317,TCP,192.168.10.5,38636.0,192.168.10.1,80.0,,L,,0.0,0.0
,35,1716658570.983531,1716658636.924708,TCP,192.168.10.1,80.0,192.168.10.5,38636.0,,,,,
19.0,36,1716658636.795236,1716658641.929852,TCP,192.168.10.2,50418.0,192.168.10.5,80.0,,L,,0.0,0.0
,37,1716658636.795488,1716658641.930207,TCP,192.168.10.5,80.0,192.168.10.2,50418.0,,,,,
20.0,38,1716658570.923474,1716658641.931245,ICMP,192.168.10.2,,192.168.10.5,,0x00000000_0x00000020_0x0001,L,,0.0,0.0
21.0,39,1716658570.924135,1716658641.93159,ICMP,192.168.10.2,,192.168.10.1,,0x00000000_0x00000020_0x0001,L,,0.0,0.0
22.0,40,1716658570.923379,1716658641.997879,TCP,192.168.10.5,38634.0,192.168.10.1,80.0,,L,,0.0,0.0
,41,1716658570.92405,1716658641.997436,TCP,192.168.10.1,80.0,192.168.10.5,38634.0,,,,,
23.0,42,1716658641.930231,1716658642.0487,TCP,192.168.10.2,50420.0,192.168.10.5,80.0,,L,,0.0,0.0
,43,1716658641.930516,1716658641.997845,TCP,192.168.10.5,80.0,192.168.10.2,50420.0,,,,,
