Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1719659412.7723296,1719659412.7723296,UDP,fe80::a00:27ff:fe20:85b8,5353,ff02::fb,5353,,L,,0.0,0.0
2.0,2,1719659412.772444,1719659412.772444,UDP,192.168.0.15,5353,224.0.0.251,5353,,L,,0.0,0.0
3.0,5,1719659546.511875,1719659546.511875,UDP,fe80::a00:27ff:fe0b:e7cf,5353,ff02::fb,5353,,L,,0.0,0.0
4.0,6,1719659412.7736402,1719659546.5125487,UDP,192.168.0.20,5353,224.0.0.251,5353,,L,,0.0,0.0
5.0,9,1719659903.6243005,1719659903.6243007,UDP,192.168.0.10,138,192.168.0.255,138,,L,,0.0,0.0
6.0,10,1719659911.4007332,1719659920.2489405,TCP,192.168.0.20,39846,192.168.0.15,1234,,C,T1059,0.0,1.0
,11,1719659911.4007585,1719659920.2489593,TCP,192.168.0.15,1234,192.168.0.20,39846,,,,,
7.0,12,1719659412.7882397,1719659965.212478,TCP,192.168.0.15,52170,192.168.0.10,445,,P,T1570,1.0,1.0
,13,1719659412.7889893,1719659965.2124496,TCP,192.168.0.10,445,192.168.0.15,52170,,,,,
